Control ,Demography/Community,Demography/Respondent-Sex,Demography/Respondent-age,Demography/Status,Demography/highest_education,HH-Composition/hhsize,HH-Composition/no_male,HH-Composition/no_female,HH-Composition/no-infants,HH-Composition/children-under6-months,HH-Composition/children-6-23months,HH-Composition/children-24-59months,HH-Composition/First-child-age,AGE of CHILD,HH-Composition/First-child-MUAC,MUAC,HH-Composition/orphan,HH-Composition/no-elderly-people1,HH-Composition/lactating_women,HH-Composition/0-lactating_women,HH-Composition/pregnant_woman,HH-Composition/chronicall-ill,HH-Composition/no-chronicall-ill-person,HH-Composition/disability,HH-Composition/physically_challenge,HH-Composition/no-physically_challenged,HH-Composition/woman,HH-Composition/reproductive_woman,FCS Categories,hhs/Calculated_HHS,RCSI/RCSI
0,Shuwari,Female,45,idp,Primary,8,6,2,3,1,1,1,24,24-59,13,>12.5,0,0,0,0,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,21
1,Shuwari,Male,51,host,Senior-Secondary,9,2,7,1,0,0,1,59,24-59,14,>12.5,1,0,0,0,0,0,0,1,1,0,1,1,Poor,Little to no hunger,21
0,Shuwari,Male,35,idp,Senior-Secondary,5,3,2,3,1,0,2,24,24-59,14,>12.5,0,0,1,1,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,15
1,Shuwari,Male,45,idp,No-Formal education,8,5,3,0,0,0,0,0,0-6,0,<11.5,1,1,0,0,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,22
0,Abatchari,Male,31,idp,Primary,7,3,4,3,1,1,1,6,0-6,14,>12.5,0,0,1,1,1,0,0,0,0,0,1,1,Acceptable,Little to no hunger,3
0,Shuwari,Female,30,idp,No-Formal education,6,4,2,0,0,0,0,0,0-6,0,<11.5,1,1,0,0,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,23
1,Shuwari,Male,40,idp,No-Formal education,11,6,5,2,0,0,2,27,24-59,15.4,>12.5,0,1,0,0,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,32
1,Shuwari,Male,40,host,No-Formal education,8,1,7,4,0,2,2,10,6-23,12.3,11.5-12.5,0,1,1,2,0,0,0,1,1,0,0,0,Borderline,Moderate Hunger,26
0,Alkaleri,Female,35,returnee,Senior-Secondary,5,2,3,3,0,1,2,24,24-59,16,>12.5,0,0,1,1,0,0,0,0,0,0,0,0,Borderline,Little to no hunger,22
0,Alkaleri,Male,35,returnee,No-Formal education,7,4,3,3,0,1,2,36,24-59,17,>12.5,0,0,1,1,0,0,0,0,0,0,0,0,Acceptable,Little to no hunger,26
0,Alkaleri,Female,50,returnee,No-Formal education,3,1,2,0,0,0,0,0,0-6,0,<11.5,0,1,0,0,0,0,0,4,1,0,0,0,Borderline,Little to no hunger,19
0,Shuwari,Male,40,idp,Primary,6,2,4,2,0,0,2,24,24-59,11,<11.5,0,0,0,0,1,0,0,2,2,2,1,1,Poor,Moderate Hunger,33
1,Kachala-Burari-Kura,Male,40,idp,No-Formal education,3,2,1,1,0,0,1,24,24-59,12.6,>12.5,0,0,1,1,0,0,0,0,0,0,0,0,Borderline,Moderate Hunger,13
1,Kachala-Burari-Kura,Male,40,idp,No-Formal education,5,3,2,1,0,1,0,23,6-23,13.6,>12.5,0,1,0,0,0,0,0,1,1,0,1,1,Poor,Moderate Hunger,21
0,Abatchari,Male,36,idp,No-Formal education,8,4,4,2,1,0,1,6,0-6,15.1,>12.5,1,1,1,1,1,0,0,1,1,0,1,1,Borderline,Little to no hunger,5
1,Shuwari,Male,65,idp,No-Formal education,12,8,4,2,1,0,1,59,24-59,13,>12.5,1,1,1,1,0,0,0,1,1,0,0,0,Poor,Moderate Hunger,24
1,Abatchari,Male,35,idp,No-Formal education,5,3,2,2,1,0,1,6,0-6,12.1,11.5-12.5,0,0,1,1,0,0,0,0,0,0,1,1,Acceptable,Moderate Hunger,16
1,Damboa-Central,Male,65,host,No-Formal education,9,2,7,3,1,1,1,10,6-23,12.5,11.5-12.5,1,1,1,1,0,0,0,0,0,0,1,1,Poor,Severe Hunger,29
0,Damboa-Central,Male,34,idp,No-Formal education,6,3,3,4,2,1,1,8,6-23,12.4,11.5-12.5,0,1,1,1,0,0,0,1,1,0,1,1,Poor,Moderate Hunger,22
1,Damboa-Central,Male,43,idp,No-Formal education,5,3,2,2,0,1,1,7,6-23,12.5,11.5-12.5,0,0,0,0,1,0,0,1,1,0,1,1,Poor,Moderate Hunger,26
1,Abatchari,Male,30,idp,No-Formal education,14,5,9,2,0,0,2,24,24-59,17.2,>12.5,0,0,0,0,1,0,0,3,2,2,1,1,Acceptable,Little to no hunger,7
0,Damboa-Central,Male,35,idp,No-Formal education,3,2,1,1,1,0,0,0,0-6,0,<11.5,1,1,1,1,0,0,0,0,0,0,0,0,Poor,Moderate Hunger,31
1,Damboa-Central,Male,55,host,Junior-Secondary,10,5,5,3,1,1,1,7,6-23,12.5,11.5-12.5,1,0,1,1,0,0,0,1,1,0,1,1,Borderline,Severe Hunger,28
0,Damboa-Central,Male,36,idp,Senior-Secondary,8,4,4,3,1,1,1,8,6-23,12.5,11.5-12.5,1,2,1,1,0,0,0,1,1,0,1,1,Poor,Moderate Hunger,20
1,Abatchari,Male,27,idp,Senior-Secondary,4,1,3,2,0,1,1,11,6-23,13.2,>12.5,0,0,1,1,0,0,0,0,0,0,0,0,Acceptable,Little to no hunger,0
1,Damboa-Central,Male,57,idp,No-Formal education,10,8,2,0,0,0,0,0,0-6,0,<11.5,1,0,0,0,0,0,0,1,1,0,1,0,Borderline,Moderate Hunger,11
1,Damboa-Central,Male,52,idp,No-Formal education,8,4,4,2,1,0,1,8,6-23,12.5,11.5-12.5,1,1,1,1,1,0,0,1,1,0,1,1,Poor,Moderate Hunger,31
1,Shuwari,Male,42,host,No-Formal education,8,3,5,3,1,0,2,6,0-6,12.5,11.5-12.5,0,2,1,1,0,0,0,1,1,0,1,1,Poor,Severe Hunger,31
1,Shuwari,Male,50,idp,No-Formal education,14,7,7,5,1,1,3,24,24-59,14,>12.5,0,0,1,1,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,17
0,Damboa-Central,Male,47,host,No-Formal education,6,2,4,1,1,0,0,0,0-6,0,<11.5,0,2,1,1,1,0,0,1,1,0,1,1,Borderline,Severe Hunger,25
1,Damboa-Central,Male,50,idp,Senior-Secondary,10,5,5,0,0,0,0,0,0-6,0,<11.5,1,1,0,0,0,0,0,0,0,0,1,0,Borderline,Moderate Hunger,8
1,Kachala-Burari-Kura,Male,60,idp,No-Formal education,6,3,3,2,0,1,1,22,6-23,13.5,>12.5,0,1,0,0,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,20
1,Kachala-Burari-Kura,Female,35,idp,No-Formal education,8,5,3,3,0,1,2,23,6-23,14.5,>12.5,0,0,1,1,0,0,0,1,1,0,1,1,Borderline,Little to no hunger,0
0,Damboa-Central,Male,31,host,No-Formal education,3,2,1,1,0,0,1,6,0-6,12.5,11.5-12.5,0,0,0,0,1,0,0,1,1,0,1,1,Poor,Moderate Hunger,32
1,Damboa-Central,Male,55,idp,No-Formal education,9,5,4,3,0,1,2,25,24-59,12.5,11.5-12.5,1,1,0,0,1,1,1,1,1,0,1,1,Borderline,Moderate Hunger,13
1,Shuwari,Male,45,host,No-Formal education,4,2,2,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,0,0,0,0,0,0,1,0,Acceptable,Moderate Hunger,9
0,Kachala-Burari-Kura,Male,38,idp,Senior-Secondary,4,2,2,0,0,0,0,0,0-6,0,<11.5,0,1,0,0,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,22
0,Damboa-Central,Female,50,idp,No-Formal education,9,5,4,2,0,0,2,24,24-59,14.2,>12.5,1,0,0,0,0,0,0,0,0,0,1,0,Borderline,Moderate Hunger,9
0,Alkaleri,Male,30,idp,No-Formal education,4,1,3,2,0,1,1,12,6-23,14,>12.5,0,0,1,1,0,0,0,2,1,0,0,0,Borderline,Little to no hunger,26
0,Damboa-Central,Male,55,returnee,Primary,17,7,10,3,1,1,1,6,0-6,14.5,>12.5,0,0,1,1,0,0,0,1,2,2,1,1,Borderline,Moderate Hunger,15
1,Kachala-Burari-Kura,Male,35,returnee,Primary,2,1,1,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,1,0,0,2,1,0,0,0,Borderline,Moderate Hunger,11
1,Abatchari,Male,30,idp,No-Formal education,7,4,3,2,1,0,1,6,0-6,12,11.5-12.5,0,0,1,1,0,0,0,0,0,0,1,1,Acceptable,Moderate Hunger,11
1,Damboa-Central,Female,40,idp,No-Formal education,3,1,2,0,0,0,0,0,0-6,0,<11.5,0,1,0,0,0,0,0,1,1,0,1,1,Borderline,Little to no hunger,7
1,Alkaleri,Male,40,returnee,No-Formal education,7,4,3,3,1,1,1,48,24-59,16,>12.5,0,2,1,1,0,0,0,1,1,0,1,0,Borderline,Little to no hunger,30
1,Alkaleri,Male,30,idp,No-Formal education,5,2,3,2,0,0,2,36,24-59,15,>12.5,1,0,0,0,1,1,1,3,1,0,1,1,Poor,Little to no hunger,27
1,Kachala-Burari-Kura,Male,40,idp,Senior-Secondary,4,2,2,2,0,1,1,23,6-23,13.6,>12.5,0,1,0,0,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,13
0,Damboa-Central,Male,44,returnee,No-Formal education,14,7,7,2,0,1,1,12,6-23,13.7,>12.5,0,1,0,0,1,0,0,1,1,0,1,1,Borderline,Moderate Hunger,7
0,Damboa-Central,Female,38,returnee,No-Formal education,7,2,5,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,1,0,0,0,0,0,1,1,Borderline,Moderate Hunger,6
0,Alkaleri,Female,35,idp,Primary,7,3,4,3,0,1,2,24,24-59,14,>12.5,1,0,0,0,0,0,0,1,1,0,0,0,Borderline,Little to no hunger,27
1,Damboa-Central,Female,40,idp,No-Formal education,9,3,6,1,0,0,1,24,24-59,14.3,>12.5,1,1,0,0,0,1,1,0,0,0,1,1,Poor,Moderate Hunger,6
1,Shuwari,Female,40,returnee,No-Formal education,12,3,9,2,1,1,0,8,6-23,11.3,<11.5,1,1,1,1,0,0,0,0,0,0,0,0,Borderline,Moderate Hunger,27
1,Shuwari,Male,35,returnee,Primary,7,3,4,2,0,1,1,24,24-59,13.5,>12.5,0,0,0,0,1,0,0,0,0,0,1,1,Poor,Moderate Hunger,23
1,Damboa-Central,Male,40,idp,Junior-Secondary,8,3,5,1,0,0,1,24,24-59,12.5,11.5-12.5,0,1,0,0,1,0,0,1,2,2,1,1,Poor,Moderate Hunger,24
0,Damboa-Central,Male,45,returnee,No-Formal education,8,4,4,3,2,0,1,7,6-23,12.8,>12.5,0,1,1,1,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,13
1,Wuyaram,Female,30,idp,No-Formal education,7,4,3,5,1,1,3,24,24-59,13,>12.5,1,0,0,0,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,25
1,Alkaleri,Female,60,idp,No-Formal education,7,4,3,0,0,0,0,0,0-6,0,<11.5,1,1,0,0,0,1,1,2,1,0,0,0,Borderline,Little to no hunger,39
0,Shuwari,Male,45,idp,Higher-Education,14,7,7,4,2,2,0,7,6-23,12,11.5-12.5,0,1,1,2,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,17
1,Shuwari,Male,35,returnee,No-Formal education,11,3,8,1,0,0,1,59,24-59,14.5,>12.5,0,1,0,0,0,0,0,1,1,0,1,1,Poor,Moderate Hunger,33
1,Aburi,Male,50,idp,No-Formal education,5,1,4,2,0,1,1,15,6-23,11.8,11.5-12.5,1,1,0,0,1,0,0,0,0,0,1,1,Poor,Moderate Hunger,12
0,Kachala-Burari-Gana,Female,30,idp,No-Formal education,7,3,4,2,1,0,1,6,0-6,13.1,>12.5,0,1,1,1,0,0,0,1,1,0,1,1,Poor,Moderate Hunger,16
1,Kachala-Burari-Kura,Male,40,returnee,No-Formal education,10,4,6,2,0,1,1,19,6-23,13.5,>12.5,0,0,0,0,1,0,0,2,1,0,1,1,Borderline,Moderate Hunger,20
1,Shuwari,Male,55,idp,No-Formal education,10,4,6,2,0,0,2,12,6-23,15.5,>12.5,1,1,1,1,0,0,0,1,1,0,1,1,Borderline,Moderate Hunger,17
0,Kachala-Burari-Kura,Male,70,idp,No-Formal education,4,2,2,0,0,0,0,0,0-6,0,<11.5,0,3,0,0,0,0,0,0,0,0,1,0,Borderline,Moderate Hunger,19
1,Alkaleri,Female,40,host,Senior-Secondary,16,6,10,2,0,1,1,54,24-59,15,>12.5,1,2,1,1,0,0,0,1,1,0,0,0,Borderline,Moderate Hunger,30
0,Shuwari,Male,32,idp,Senior-Secondary,7,5,2,3,0,1,2,12,6-23,13,>12.5,0,0,1,1,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,13
0,Kachala-Burari-Kura,Female,45,idp,Primary,5,3,2,2,1,1,0,23,6-23,13.6,>12.5,1,2,1,1,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,16
1,Shuwari,Female,45,idp,No-Formal education,4,1,3,0,0,0,0,0,0-6,0,<11.5,1,1,0,0,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,20
0,Kachala-Burari-Kura,Male,30,returnee,No-Formal education,4,2,2,1,0,1,0,24,24-59,14.6,>12.5,0,0,0,0,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,18
0,Shuwari,Male,30,idp,Primary,4,2,2,0,0,0,0,0,0-6,0,<11.5,0,1,0,0,1,0,0,0,0,0,1,1,Poor,Moderate Hunger,10
1,Abatchari,Male,50,host,Primary,8,4,4,1,0,0,1,46,24-59,16.4,>12.5,0,1,0,0,0,0,0,0,0,0,0,0,Acceptable,Little to no hunger,7
1,Abatchari,Male,40,host,No-Formal education,10,4,6,1,1,0,0,0,0-6,0,<11.5,0,0,1,1,1,0,0,0,0,0,1,1,Acceptable,Little to no hunger,5
0,Kachala-Burari-Kura,Male,40,idp,No-Formal education,12,2,10,4,2,1,1,21,6-23,12.5,11.5-12.5,0,0,1,2,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,11
1,Kachala-Burari-Gana,Female,30,idp,No-Formal education,8,3,5,2,1,0,1,6,0-6,13.3,>12.5,0,1,1,1,0,0,0,0,0,0,0,0,Borderline,Moderate Hunger,19
1,Kachala-Burari-Gana,Male,35,returnee,Primary,4,2,2,0,0,0,0,0,0-6,0,<11.5,0,2,1,2,0,0,0,0,0,0,0,0,Poor,Moderate Hunger,37
1,Damboa-Central,Female,51,returnee,No-Formal education,10,7,3,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,4
0,Damboa-Central,Female,30,returnee,No-Formal education,8,4,4,3,1,1,1,6,0-6,14.2,>12.5,0,0,1,1,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,5
1,Kachala-Burari-Gana,Male,50,idp,No-Formal education,3,2,1,0,0,0,0,0,0-6,0,<11.5,1,1,0,0,0,0,0,1,1,0,0,0,Borderline,Moderate Hunger,13
1,Damboa-Central,Female,46,idp,No-Formal education,3,0,3,2,2,0,0,0,0-6,0,<11.5,1,0,1,1,0,0,0,1,1,0,1,1,Borderline,Severe Hunger,24
1,Damboa-Central,Male,45,idp,Primary,8,6,2,1,0,0,1,59,24-59,14.2,>12.5,0,0,0,0,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,12
1,Damboa-Central,Male,35,idp,Senior-Secondary,5,1,4,3,1,1,1,24,24-59,12.8,>12.5,0,1,0,0,1,0,0,0,0,0,1,1,Poor,Moderate Hunger,15
1,Kachala-Burari-Kura,Male,70,host,No-Formal education,8,3,5,0,0,0,0,0,0-6,0,<11.5,0,2,0,0,0,0,0,0,0,0,1,0,Borderline,Moderate Hunger,22
0,Wuyaram,Female,33,host,No-Formal education,2,1,1,0,0,0,0,0,0-6,0,<11.5,1,0,0,0,1,1,1,1,1,0,1,1,Borderline,Moderate Hunger,18
1,Damboa-Central,Male,45,returnee,No-Formal education,11,4,7,2,0,1,1,12,6-23,14,>12.5,1,7,1,1,0,0,0,1,1,0,0,0,Borderline,Moderate Hunger,12
0,Damboa-Central,Male,46,idp,No-Formal education,12,5,7,5,2,0,3,8,6-23,12.5,11.5-12.5,1,2,1,2,0,0,0,1,1,0,1,1,Poor,Severe Hunger,20
1,Kachala-Burari-Kura,Male,40,idp,No-Formal education,6,4,2,1,0,0,1,24,24-59,13.6,>12.5,0,0,1,1,0,0,0,0,0,0,0,0,Poor,Moderate Hunger,17
1,Damboa-Central,Female,50,host,No-Formal education,20,10,10,5,0,2,3,25,24-59,12.6,>12.5,1,2,0,0,1,0,0,0,0,0,1,1,Borderline,Moderate Hunger,13
1,Damboa-Central,Male,50,host,Primary,12,7,5,0,0,0,0,0,0-6,0,<11.5,1,1,0,0,0,0,0,1,1,0,1,1,Borderline,Moderate Hunger,5
1,Damboa-Central,Female,31,idp,No-Formal education,4,2,2,2,1,0,1,22,6-23,12.5,11.5-12.5,0,0,1,1,0,0,0,2,1,0,1,1,Poor,Severe Hunger,26
0,Kachala-Burari-Kura,Male,40,returnee,No-Formal education,4,2,2,1,1,0,0,0,0-6,0,<11.5,0,0,1,1,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,17
1,Wuyaram,Male,86,returnee,No-Formal education,5,4,1,1,0,1,0,6,0-6,16.6,>12.5,0,1,0,0,0,0,0,0,0,0,1,0,Acceptable,Moderate Hunger,8
1,Damboa-Central,Female,45,idp,No-Formal education,3,1,2,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,8
0,Damboa-Central,Male,42,idp,No-Formal education,15,7,8,3,1,1,1,6,0-6,12.5,11.5-12.5,0,2,1,2,0,0,0,1,1,0,1,1,Poor,Moderate Hunger,20
1,Abatchari,Male,50,host,Junior-Secondary,8,4,4,1,1,0,0,0,0-6,0,<11.5,0,1,1,1,0,1,1,0,0,0,1,1,Acceptable,Moderate Hunger,13
