,"Impact of 'condition_name' on
'selected_LANDLINE_ONLY'",condition_name,demogAge,BB_current_time_with_provider_abs,BB_current_plan_Fast Fibre Broadband (Up to 100Mb/s)
93,-0.2695119108223266,2) LL add-on at £1,51,3.0,0
94,-0.22566520975492688,2) LL add-on at £1,47,1.666666667,0
95,-0.18689133941147984,2) LL add-on at £1,32,2.25,1
96,-0.3132005665271121,2) LL add-on at £1,49,2.0,0
97,-0.13645980703254132,2) LL add-on at £1,67,11.58333333,0
98,-0.25380291202473215,2) LL add-on at £1,35,11.0,0
99,-0.18294755877569477,2) LL add-on at £1,58,10.0,0
100,-0.2623912212481394,2) LL add-on at £1,42,3.5,0
101,-0.18434859163458506,2) LL add-on at £1,36,5.0,1
102,-0.21132566266115682,2) LL add-on at £1,36,1.0,0
103,-0.08476038104125912,2) LL add-on at £1,39,2.5,0
104,-0.4469658262825038,2) LL add-on at £1,48,0.833333333,1
105,-0.1941013675942771,2) LL add-on at £1,26,4.25,0
106,-0.07550570005060614,2) LL add-on at £1,59,11.0,0
107,0.07299171701030807,2) LL add-on at £1,68,0.416666667,0
108,-0.16805916614342714,2) LL add-on at £1,37,0.833333333,0
109,-0.13982568749583413,2) LL add-on at £1,61,11.0,1
110,-0.19512558401343047,2) LL add-on at £1,59,10.33333333,1
111,-0.17105063366297507,2) LL add-on at £1,46,3.0,1
112,-0.12829473190095944,2) LL add-on at £1,45,1.083333333,0
113,-0.29653748916924144,2) LL add-on at £1,69,9.0,0
114,-0.12614867395693222,2) LL add-on at £1,44,7.583333333,0
115,-0.0713414535209131,2) LL add-on at £1,43,0.333333333,0
116,-0.22979935537701415,2) LL add-on at £1,68,11.0,0
117,-0.009776521591072817,2) LL add-on at £1,68,1.083333333,0
118,-0.15857175447140126,2) LL add-on at £1,39,5.0,0
119,-0.0681823304441928,2) LL add-on at £1,63,11.0,1
120,-0.07637550881816331,2) LL add-on at £1,65,11.08333333,0
121,-0.13291780546452509,2) LL add-on at £1,64,2.25,0
122,-0.18538807334326338,2) LL add-on at £1,45,2.5,1
123,-0.19401358990920464,2) LL add-on at £1,53,5.666666667,0
124,-0.1381051839383003,2) LL add-on at £1,20,4.0,0
125,-0.13163026101180564,2) LL add-on at £1,59,11.0,0
126,-0.18735625975297482,2) LL add-on at £1,41,11.91666667,0
127,-0.37325930050009865,2) LL add-on at £1,54,5.5,1
128,0.07479227044877809,2) LL add-on at £1,72,5.0,1
129,-0.2751488893013897,2) LL add-on at £1,59,2.0,0
130,-0.22363783846203392,2) LL add-on at £1,57,1.416666667,0
131,-0.19581516207460223,2) LL add-on at £1,45,2.25,0
132,-0.24178446192697486,2) LL add-on at £1,43,2.0,0
133,-0.3115678911556465,2) LL add-on at £1,42,2.0,0
134,-0.25041335316773855,2) LL add-on at £1,52,10.0,0
135,-0.2437145916083474,2) LL add-on at £1,29,2.25,0
136,-0.025413188474118296,2) LL add-on at £1,51,11.91666667,0
137,-0.2364247679793404,2) LL add-on at £1,73,0.166666667,0
138,-0.03277282804389032,2) LL add-on at £1,52,5.0,0
139,-0.19828851605487754,2) LL add-on at £1,54,5.583333333,1
140,-0.25426319224388805,2) LL add-on at £1,60,10.08333333,0
141,-0.06490157674763775,2) LL add-on at £1,74,10.5,1
142,-0.15406110022433564,2) LL add-on at £1,67,5.5,0
143,-0.4983101414483185,2) LL add-on at £1,65,4.5,0
144,-0.1754693932703544,2) LL add-on at £1,62,1.0,0
145,-0.16121049674531657,2) LL add-on at £1,30,1.25,1
146,-0.14861010678848757,2) LL add-on at £1,53,10.0,0
147,-0.22990859377696435,2) LL add-on at £1,41,3.5,0
148,-0.15111829264206167,2) LL add-on at £1,36,2.0,0
149,0.03389581663942159,2) LL add-on at £1,74,5.0,0
150,-0.11792282126062897,2) LL add-on at £1,52,1.666666667,1
151,-0.18928731369427804,2) LL add-on at £1,68,1.0,0
152,-0.15174728033171364,2) LL add-on at £1,44,10.16666667,1
153,-0.03977029904012933,2) LL add-on at £1,65,11.08333333,1
154,-0.0009946609445722929,2) LL add-on at £1,73,11.0,1
155,-0.20656519799075232,2) LL add-on at £1,67,2.5,0
156,-0.15974942163795122,2) LL add-on at £1,65,11.0,0
157,-0.12750746098094196,2) LL add-on at £1,45,11.91666667,0
158,-0.24885550986989777,2) LL add-on at £1,49,1.0,0
159,-0.16304410869870842,2) LL add-on at £1,33,3.5,0
160,-0.050338218267730744,2) LL add-on at £1,71,7.5,0
161,-0.15199745353569324,2) LL add-on at £1,63,11.0,0
162,-0.08405420891733757,2) LL add-on at £1,72,7.25,0
163,-0.10224328351874969,2) LL add-on at £1,73,11.0,0
164,-0.14818684907437052,2) LL add-on at £1,19,1.0,0
165,-0.12243407453260616,2) LL add-on at £1,59,4.0,0
166,-0.11404159663579683,2) LL add-on at £1,65,11.0,0
167,-0.179027419119667,2) LL add-on at £1,34,3.5,0
168,-0.046641541553938286,2) LL add-on at £1,74,1.333333333,0
169,-0.010405650961751996,2) LL add-on at £1,58,11.0,0
170,-0.13533216748064134,2) LL add-on at £1,19,3.0,0
171,-0.17683502088014205,2) LL add-on at £1,55,3.083333333,0
172,-0.19751778345842277,2) LL add-on at £1,64,1.5,0
173,-0.16862080816065864,2) LL add-on at £1,65,11.0,1
174,-0.1573422385836077,2) LL add-on at £1,64,11.91666667,1
175,-0.1845639258844455,2) LL add-on at £1,33,2.333333333,1
176,-0.1671411671061467,2) LL add-on at £1,51,5.5,0
177,0.18309351028973375,2) LL add-on at £1,74,3.25,0
178,0.0020716115516790463,2) LL add-on at £1,73,0.333333333,0
179,-0.10420257383886818,2) LL add-on at £1,64,11.0,1
180,-0.22483294634713213,2) LL add-on at £1,70,11.0,0
181,-0.14260579925823758,2) LL add-on at £1,62,1.583333333,0
182,-0.06770629876183254,2) LL add-on at £1,54,11.0,1
183,-0.12170414033231645,2) LL add-on at £1,68,11.0,0
184,-0.17258547777646852,2) LL add-on at £1,69,11.0,0
185,0.20349203004731073,2) LL add-on at £1,67,8.0,0
186,-0.2690873413510961,2) LL add-on at £1,53,11.0,1
187,-0.18056990519891764,2) LL add-on at £1,44,5.0,1
188,-0.14080092995494123,2) LL add-on at £1,71,11.0,0
189,-0.01266982221066244,2) LL add-on at £1,66,11.0,0
190,-0.22293975420045156,2) LL add-on at £1,57,2.75,1
191,0.161273664208892,2) LL add-on at £1,46,11.0,0
192,-0.10752794387532962,2) LL add-on at £1,69,3.0,1
193,-0.034014739326083385,2) LL add-on at £1,74,5.0,0
194,-0.008857010943888749,2) LL add-on at £1,71,8.416666667,1
195,-0.35269517170453013,2) LL add-on at £1,53,11.0,0
196,-0.03776622695472278,2) LL add-on at £1,67,11.0,1
197,-0.21651735429613841,2) LL add-on at £1,65,5.916666667,0
198,-0.07964030475123808,2) LL add-on at £1,65,11.08333333,0
199,-0.16513875892004495,2) LL add-on at £1,52,11.0,0
200,0.02121073363260028,2) LL add-on at £1,73,11.0,0
201,-0.2250551416104397,2) LL add-on at £1,29,5.0,1
202,-0.06815982320119976,2) LL add-on at £1,56,10.5,1
203,0.015364432028601417,2) LL add-on at £1,51,11.0,1
204,-0.3680155139240407,2) LL add-on at £1,42,1.166666667,1
205,-0.275376980373112,2) LL add-on at £1,61,4.0,1
206,-0.15153118214578692,2) LL add-on at £1,28,1.416666667,0
207,-0.06961718032392875,2) LL add-on at £1,33,2.333333333,0
208,-0.19737815737289438,2) LL add-on at £1,65,2.0,0
209,-0.27816058658308873,2) LL add-on at £1,54,1.166666667,0
210,-0.11896559516603183,2) LL add-on at £1,60,6.0,0
211,-0.18827585948185585,2) LL add-on at £1,65,11.33333333,0
212,-0.16423265367690956,2) LL add-on at £1,35,2.416666667,0
213,-0.1878390522181734,2) LL add-on at £1,65,11.0,0
214,-0.12006768160561936,2) LL add-on at £1,62,2.5,0
215,-0.23600860857648273,2) LL add-on at £1,44,6.0,1
216,-0.09561572984632198,2) LL add-on at £1,53,11.0,0
217,-0.12184640554482684,2) LL add-on at £1,54,3.0,1
218,0.06584694090293047,2) LL add-on at £1,55,10.66666667,0
219,-0.09953934716460933,2) LL add-on at £1,55,2.083333333,0
220,-0.14226545417721234,2) LL add-on at £1,73,4.333333333,1
221,-0.13450053063688963,2) LL add-on at £1,49,2.0,0
222,0.06592339593363394,2) LL add-on at £1,73,5.75,0
223,-0.1858564699977257,2) LL add-on at £1,58,3.5,0
224,-0.13275526588801756,2) LL add-on at £1,54,11.0,0
225,-0.20942931614880075,2) LL add-on at £1,70,5.416666667,1
226,-0.041365906232107896,2) LL add-on at £1,64,11.0,0
227,-0.12101025158298881,2) LL add-on at £1,31,3.333333333,0
228,-0.21371164485584346,2) LL add-on at £1,44,3.75,0
229,-0.1845914353844438,2) LL add-on at £1,35,3.25,0
230,-0.18744918257589982,2) LL add-on at £1,51,3.333333333,0
231,-0.2366020292098211,2) LL add-on at £1,65,7.0,0
232,-0.16354344309310187,2) LL add-on at £1,48,0.0,0
233,-0.03717371626960756,2) LL add-on at £1,24,1.416666667,1
234,-0.015342248185206301,2) LL add-on at £1,71,6.416666667,1
235,-0.09440024157335872,2) LL add-on at £1,68,2.333333333,1
236,-0.2553101775182016,2) LL add-on at £1,44,0.916666667,0
237,-0.09372357471950807,2) LL add-on at £1,56,0.75,0
238,-0.2571104581890152,2) LL add-on at £1,69,11.0,0
239,-0.2459567802747603,2) LL add-on at £1,54,0.5,0
240,-0.13055144351316558,2) LL add-on at £1,61,10.25,0
241,-0.09870754590704889,2) LL add-on at £1,70,11.0,0
242,-0.09775936412503497,2) LL add-on at £1,57,0.083333333,0
243,-0.11107523370437779,2) LL add-on at £1,35,1.416666667,0
244,-0.22635730501160256,2) LL add-on at £1,65,1.0,0
245,0.061070364834741625,2) LL add-on at £1,70,10.16666667,1
246,-0.11445690037695402,2) LL add-on at £1,62,2.25,0
247,-0.036094857939249034,2) LL add-on at £1,70,6.0,1
248,-0.3194841470059098,2) LL add-on at £1,63,5.0,1
249,-0.18345604382905736,2) LL add-on at £1,31,3.25,0
250,-0.1769254114628015,2) LL add-on at £1,66,2.0,0
251,-0.20496936401813284,2) LL add-on at £1,56,5.25,0
252,-0.29117859984105227,2) LL add-on at £1,51,3.0,0
253,-0.10498139408492323,2) LL add-on at £1,35,6.5,1
254,0.08433189237466729,2) LL add-on at £1,70,8.5,1
255,-0.023975025893903868,2) LL add-on at £1,74,11.0,0
256,-0.30892208547444183,2) LL add-on at £1,46,0.5,1
257,-0.19507141006065284,2) LL add-on at £1,60,1.75,1
258,-0.0682184711615193,2) LL add-on at £1,70,2.25,0
259,-0.10589138075835204,2) LL add-on at £1,57,8.0,0
260,-0.10451456905789379,2) LL add-on at £1,71,0.333333333,1
261,-0.17467918780380692,2) LL add-on at £1,60,0.666666667,0
262,-0.20874195114578567,2) LL add-on at £1,49,1.0,0
263,-0.17541888602996333,2) LL add-on at £1,66,6.0,1
264,0.02630591988000634,2) LL add-on at £1,74,11.0,1
265,0.02086307346918248,2) LL add-on at £1,74,0.416666667,0
266,-0.2561338000716934,2) LL add-on at £1,49,6.0,1
267,-0.05811324340830792,2) LL add-on at £1,71,5.0,0
268,-0.34473451760532164,2) LL add-on at £1,33,1.75,1
269,-0.2823250084449205,2) LL add-on at £1,63,2.583333333,1
270,-0.2725812309641968,2) LL add-on at £1,69,6.5,0
271,-0.27260562206610506,2) LL add-on at £1,55,8.0,1
272,-0.2453485565024719,2) LL add-on at £1,49,6.916666667,1
273,-0.26256714154220895,2) LL add-on at £1,59,2.5,0
274,-0.010637798145715562,2) LL add-on at £1,67,5.0,0
275,-0.30065011347859816,2) LL add-on at £1,58,11.0,0
276,-0.16762495687155576,2) LL add-on at £1,51,11.08333333,1
277,-0.19125094850187058,2) LL add-on at £1,69,0.75,1
278,-0.17464532925303364,2) LL add-on at £1,54,11.91666667,0
279,-0.12039646024616985,2) LL add-on at £1,22,0.833333333,1
280,-0.21814676895219146,2) LL add-on at £1,47,2.916666667,1
281,-0.1471234895842331,2) LL add-on at £1,52,11.0,0
282,-0.14098105439518374,2) LL add-on at £1,36,1.0,1
283,-0.0889112331275359,2) LL add-on at £1,68,6.0,0
284,-0.1545741572616363,2) LL add-on at £1,46,2.5,0
285,-0.14937954668006254,2) LL add-on at £1,44,5.916666667,0
286,-0.16718591882792597,2) LL add-on at £1,66,0.5,0
287,-0.14785742653765546,2) LL add-on at £1,58,3.0,1
288,-0.14592161216555138,2) LL add-on at £1,60,1.583333333,0
289,0.056662608924566205,2) LL add-on at £1,70,11.0,0
290,-0.12727236347184623,2) LL add-on at £1,65,3.0,0
291,-0.08095509763356284,2) LL add-on at £1,72,0.75,1
292,-0.08843209976315866,2) LL add-on at £1,51,1.0,0
293,-0.2415686503745967,2) LL add-on at £1,47,6.083333333,1
294,-0.27591681764622383,2) LL add-on at £1,52,5.75,0
295,-0.0326865903680656,2) LL add-on at £1,68,11.0,0
296,0.08318330095863405,2) LL add-on at £1,71,11.66666667,0
297,-0.14471031883072302,2) LL add-on at £1,63,9.0,1
298,-0.10219432715466582,2) LL add-on at £1,68,5.25,0
299,0.1115966989611236,2) LL add-on at £1,70,10.0,0
300,-0.13490715198956932,2) LL add-on at £1,65,7.0,0
301,-0.2180034198289175,2) LL add-on at £1,48,2.25,0
302,-0.041018903309766985,2) LL add-on at £1,72,2.333333333,0
303,-0.10931377220862781,2) LL add-on at £1,67,11.91666667,1
304,-0.12605531495408176,2) LL add-on at £1,41,1.25,0
305,-0.0307958548878321,2) LL add-on at £1,39,1.0,1
306,-0.15423099969485835,2) LL add-on at £1,66,11.0,0
307,-0.22978206831185477,2) LL add-on at £1,59,2.333333333,0
308,-0.21012515339706078,2) LL add-on at £1,57,2.0,0
309,-0.08736322664787836,2) LL add-on at £1,42,1.083333333,1
310,0.1234271586830493,2) LL add-on at £1,22,2.416666667,1
311,-0.17989785458902194,2) LL add-on at £1,58,3.75,0
312,-0.15712051154182383,2) LL add-on at £1,50,4.25,1
313,-0.21651742711709648,2) LL add-on at £1,40,0.666666667,0
314,0.05729248502174569,2) LL add-on at £1,53,6.083333333,1
315,-0.13099811988357707,2) LL add-on at £1,61,3.416666667,0
316,-0.750438059436338,2) LL add-on at £1,58,4.0,1
317,0.07691987614375788,2) LL add-on at £1,67,5.0,1
318,-0.16060444549219904,2) LL add-on at £1,53,11.0,0
319,-0.1386097445410484,2) LL add-on at £1,43,2.333333333,0
320,-0.18851857197035668,2) LL add-on at £1,33,1.5,0
321,-0.2344306587929924,2) LL add-on at £1,48,1.166666667,0
322,-0.059066631274244906,2) LL add-on at £1,71,7.083333333,1
323,-0.19713008510964314,2) LL add-on at £1,30,5.0,0
324,-0.3524741318334375,2) LL add-on at £1,59,4.25,1
325,0.09077556939861232,2) LL add-on at £1,69,0.916666667,0
326,-0.14633557877448378,2) LL add-on at £1,34,9.0,0
327,-0.24409693382654268,2) LL add-on at £1,73,0.25,0
328,-0.23855443140612856,2) LL add-on at £1,47,1.333333333,0
329,-0.20400448075238703,2) LL add-on at £1,33,2.833333333,0
330,-0.12451735959402997,2) LL add-on at £1,74,11.91666667,1
331,-0.21858708324725606,2) LL add-on at £1,31,3.25,0
332,-0.1633834724337457,2) LL add-on at £1,52,2.0,0
333,0.027628867395725905,2) LL add-on at £1,72,3.0,0
334,-0.2737997848660757,2) LL add-on at £1,23,2.75,0
335,-0.22834888989282645,2) LL add-on at £1,59,11.0,1
336,-0.024055138767835247,2) LL add-on at £1,40,3.5,1
337,-0.4907826700912448,2) LL add-on at £1,38,5.25,1
338,-0.07017647027915398,2) LL add-on at £1,73,4.583333333,0
339,-0.2586651210158125,2) LL add-on at £1,42,0.25,1
340,-0.27395849929357874,2) LL add-on at £1,63,11.91666667,0
341,-0.2125203836482285,2) LL add-on at £1,58,11.0,0
342,-0.23173257177162496,2) LL add-on at £1,43,1.5,1
343,-0.2140537176990446,2) LL add-on at £1,59,2.583333333,0
344,-0.15550975930618796,2) LL add-on at £1,41,0.833333333,0
345,-0.20289971154387043,2) LL add-on at £1,50,2.0,1
346,-0.19784182395430727,2) LL add-on at £1,48,11.75,0
347,0.15960451414862623,2) LL add-on at £1,71,4.0,0
348,-0.20130772563298918,2) LL add-on at £1,56,4.0,1
349,-0.22874720519078068,2) LL add-on at £1,44,4.0,1
350,-0.15724016819372372,2) LL add-on at £1,63,11.0,0
351,-0.15193260204565937,2) LL add-on at £1,66,3.0,0
352,-0.19924208728632628,2) LL add-on at £1,44,6.083333333,0
353,-0.2970679651385692,2) LL add-on at £1,58,11.0,1
354,-0.19565267724824267,2) LL add-on at £1,42,3.0,0
355,-0.23001665974225877,2) LL add-on at £1,68,3.333333333,1
356,-0.13810933032762537,2) LL add-on at £1,62,10.0,1
357,-0.12730211377550685,2) LL add-on at £1,44,9.666666667,0
358,-0.19034574745587696,2) LL add-on at £1,70,11.0,0
359,-0.2586960174080088,2) LL add-on at £1,56,1.166666667,1
360,-0.20767333744778627,2) LL add-on at £1,59,11.0,1
361,-0.39711095421216935,2) LL add-on at £1,19,0.0,0
362,-0.20173737133601521,2) LL add-on at £1,50,2.583333333,0
363,-0.1498658874654247,2) LL add-on at £1,56,4.666666667,0
364,0.2652179455011093,2) LL add-on at £1,67,3.5,1
365,-0.19713142838124462,2) LL add-on at £1,43,7.166666667,0
366,-0.06484295139302376,2) LL add-on at £1,65,11.0,0
367,-0.3267139637757004,2) LL add-on at £1,50,5.416666667,0
368,-0.16447171175513345,2) LL add-on at £1,50,3.333333333,0
369,-0.07058050052042172,2) LL add-on at £1,52,11.0,0
370,0.09203589536598729,2) LL add-on at £1,67,11.0,1
371,-0.057386518524453575,2) LL add-on at £1,68,11.0,0
372,-0.1463832484024813,2) LL add-on at £1,55,6.416666667,0
373,-0.07983275419420557,2) LL add-on at £1,69,11.0,1
374,-0.25164107603152785,2) LL add-on at £1,58,10.0,0
375,-0.0910759657332135,2) LL add-on at £1,31,2.0,0
376,-0.18264186017560127,2) LL add-on at £1,68,11.0,1
377,-0.06577870831363516,2) LL add-on at £1,70,2.25,1
378,-0.17754418878257738,2) LL add-on at £1,70,4.0,1
379,-0.16762784505400422,2) LL add-on at £1,57,11.0,0
380,-0.26368532341455286,2) LL add-on at £1,26,1.333333333,0
381,-0.24603028477793482,2) LL add-on at £1,64,1.666666667,0
382,-0.03797126233046486,2) LL add-on at £1,68,11.08333333,1
383,-0.3954623051887747,2) LL add-on at £1,54,8.5,1
384,0.004717626030041203,2) LL add-on at £1,73,11.0,1
385,-0.007204493006713965,2) LL add-on at £1,69,11.33333333,1
386,-0.131186480523968,2) LL add-on at £1,63,5.5,1
387,-0.20771445047276113,2) LL add-on at £1,51,11.0,0
388,-0.21396859409943397,2) LL add-on at £1,51,1.666666667,0
389,-0.17239885284899492,2) LL add-on at £1,28,1.833333333,1
390,0.09078707780474028,2) LL add-on at £1,69,2.5,0
391,-0.21591657136252018,2) LL add-on at £1,29,2.75,1
392,-0.02616197627827623,2) LL add-on at £1,58,1.166666667,0
393,-0.21584213144627643,2) LL add-on at £1,50,11.0,1
394,-0.29978388897396535,2) LL add-on at £1,50,2.5,1
395,-0.11254419238277534,2) LL add-on at £1,68,1.0,0
396,-0.11448730145860368,2) LL add-on at £1,66,5.0,1
397,-0.2658065602300897,2) LL add-on at £1,58,4.75,0
398,-0.08897146762395107,2) LL add-on at £1,48,11.0,0
