Scenario,Store1,Store2,IntentionToSwitch12Months,SelectedStore,Network Provider,FTTC/FTTP,age,Network,TariffType,BB_provider,TV_provider,Store1_exp_key,Store2_exp_key,Store1_Plan,Store1_Addons,Tariff,Store1_TariffSpend,Store1_UpfrontSpend,Store1_AddonsSpend,Store1_DataAllowance,Store1_ContractLength,Store1_TotalMonthlySpend,Store1_Mutation_Upfront,Store1_Mutation_StartingPrice,Store1_Mutation_F1 to F2,Store1_Mutation_F2 to F3,Store1_Mutation_F36 to F55,Store1_Mutation_F55 to F150,Store1_Mutation_F150 to F300,Store1_Mutation_F300 to F500,Store1_Mutation_F500 to F900,Store1_Mutation_Complete WiFi,Store1_Mutation_Hybrid Connect,Store1_Mutation_Cyber Indivudual,Store1_Mutation_Cyber Multiple,Store1_Mutation_In Home,Store1_Mutation_WiFi Prioritise,Store1_Mutation_Bundle Better,Store1_Mutation_Bundle Price,Store1_Mutation_Competitor Price,Store2_Plan,Store2_Addons,Store2_TariffSpend,Store2_UpfrontSpend,Store2_AddonsSpend,Store2_DataAllowance,Store2_ContractLength,Store2_TotalMonthlySpend,Store2_Mutation_Upfront,Store2_Mutation_StartingPrice,Store2_Mutation_F1 to F2,Store2_Mutation_F2 to F3,Store2_Mutation_F36 to F55,Store2_Mutation_F55 to F150,Store2_Mutation_F150 to F300,Store2_Mutation_F300 to F500,Store2_Mutation_F500 to F900,Store2_Mutation_Complete WiFi,Store2_Mutation_Hybrid Connect,Store2_Mutation_Cyber Indivudual,Store2_Mutation_Cyber Multiple,Store2_Mutation_In Home,Store2_Mutation_WiFi Prioritise,Store2_Mutation_Bundle Better,Store2_Mutation_Bundle Price,Store2_Mutation_Competitor Price,mobile_provider_years,mobile_provider_months,mobile_plan_years,mobile_plan_months,mobile_contract_length,mobile_contract_expiry,mobile_data_allowance,mobile_data_usage,mobile_airtime_usage,mobile_spend,mobile_beh_socialMedia,mobile_beh_messaging,mobile_beh_blogs,mobile_beh_videos,mobile_beh_movies,mobile_beh_hotspot,mobile_beh_voice_video_chat,mobile_nwp_satisfaction,mobile_handset_make,bb_spend,bb_provider_satisfaction,bb_speed,bb_fibre_available,tech_seg_statement1,tech_seg_statement2,purchase_location_handset,purchase_location_mobileplan,purchase_location_Broadband,purchase_location_Tvsubscription,gender,marital_status,householdage1,householdage2,householdage3,householdage4,householdage5,householdage6,N_bedrooms,currentLocation_Year,currentLocation_Month,working_status,personal_income,house_location,ukregion,ChiefIncomeEarner
0,EE,Virgin,7,Virgin,Three,FTTP,31,No. 1,No. 1,No. 1,No. 8,EE_NAYAN_3,COMPETITOR_VIRGIN,FULL_FIBRE_1000,No. NA,41.00,50.99,39.99,0.00,No. NA,24.00,50.99,3,5,No. NA,No. NA,3,3,1,1,3,No. NA,1,1,0,1,0,2,2,No. NA,PLAN_VOLT_M500,No. NA,41.00,0.00,0.00,No. NA,18.00,41.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,5,5.00,0.00,2.00,0.00,3.00,No. 2,No. 11,No. 7,No. 3,30.00,No. 7,No. 4,No. 7,No. 6,No. 7,No. 7,No. 6,6.00,No. 10,30.00,5.00,No. 5,6,No. 3,No. 5,No. 2,No. 2,No. 2,No. 2,No. 2,No. 2,No. 0,No. 0,No. 0,No. 0,No. 0,No. 1,2.00,13.00,0.00,No. 1,No. 4,No. 2,No. 4,No. 2
0,BT,EE,8,BT,Other,FTTC,56,No. 8,No. 3,No. 4,No. 5,COMPETITOR_BT_FTTC,EE_NAYAN_FTTC,PLAN_FIBRE_ESSENTIAL,No. NA,24.00,24.00,10.00,0.00,No. NA,24.00,24.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,5,FIBRE_1,No. NA,23.99,19.99,0.00,No. NA,24.00,23.99,5,2,1,3,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,1,1,1,0,0,2,0,No. NA,4.00,6.00,1.00,4.00,2.00,No. 1,No. 3,No. 2,No. 3,10.00,No. 1,No. 2,No. 2,No. 1,No. 1,No. 1,No. 1,5.00,No. 7,26.00,3.00,No. 1,1,No. 7,No. 1,No. 1,No. 1,No. 3,No. 2,No. 2,No. 2,No. 0,No. 0,No. 0,No. 0,No. 0,No. 2,3.00,2.00,10.00,No. 2,No. 2,No. 4,No. 8,No. 4
0,Vodafone,EE,8,Vodafone,Vodafone,FTTC,39,No. 12,No. 1,No. 7,No. 3,COMPETITOR_VODAFONE_FTTC,EE_NAYAN_FTTC,PLAN_4,"EVENING_WEEKEND,INTERNATIONAL_300,ANYTIME_LANDLINE",27.00,27.00,0.00,17.00,6000,24.00,44.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,6,FIBRE_3,"ALL_ROUNDER_BUNDLE,TV_ENTERTAINMENT",30.99,39.99,20.00,No. NA,24.00,67.99,2,6,1,0,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,1,0,1,0,1,2,0,No. NA,2.00,0.00,1.00,4.00,2.00,No. 2,No. 4,No. 3,No. 3,60.00,No. 5,No. 4,No. 4,No. 4,No. 5,No. 4,No. 4,4.00,No. 1,17.00,5.00,No. 4,3,No. 6,No. 4,No. 2,No. 1,No. 2,No. 1,No. 1,No. 1,No. 2,No. 1,No. 0,No. 0,No. 0,No. 2,2.00,5.00,0.00,No. 1,No. 4,No. 2,No. 4,No. 2
0,Virgin,EE,2,Virgin,O2,FTTC,75,No. 14,No. 2,No. 4,No. 5,COMPETITOR_VIRGIN_FTTC,EE_NAYAN_FTTC,PLAN_VOLT_M100,No. NA,32.00,32.00,0.00,0.00,No. NA,18.00,32.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,1,FIBRE_1,HPP_UNLIM,25.99,39.99,10.00,No. NA,24.00,35.99,0,4,2,2,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,0,0,1,1,1,1,1,No. NA,3.00,6.00,0.00,4.00,3.00,No. 4,No. 3,No. 1,No. 1,6.00,No. 1,No. 4,No. 3,No. 1,No. 1,No. 2,No. 3,7.00,No. 10,21.00,7.00,No. 2,7,No. 7,No. 2,No. 3,No. 1,No. 3,No. 1,No. 2,No. 3,No. 0,No. 0,No. 0,No. 0,No. 0,No. 1,3.00,40.00,0.00,No. 2,No. 2,No. 1,No. 4,No. 2
0,Virgin,EE,2,Virgin,EE,FTTP,65,No. 15,No. 1,No. 2,No. 3,COMPETITOR_VIRGIN,EE_NAYAN_2,PLAN_VOLT_M100,No. NA,32.00,32.00,0.00,0.00,No. NA,18.00,32.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,1,FULL_FIBRE_150,"CYBER_MULTI,HPP_UNLIM",33.99,39.99,15.00,No. NA,24.00,48.99,3,8,No. NA,No. NA,1,1,1,2,No. NA,No. NA,0,0,0,1,1,0,2,No. NA,5.00,5.00,1.00,6.00,4.00,No. 3,No. 3,No. 1,No. 3,17.00,No. 2,No. 4,No. 5,No. 4,No. 1,No. 1,No. 4,5.00,No. 10,18.00,6.00,No. 3,4,No. 5,No. 3,No. 3,No. 3,No. 3,No. 3,No. 1,No. 1,No. 0,No. 0,No. 0,No. 0,No. 0,No. 2,2.00,42.00,10.00,No. 7,No. 2,No. 3,No. 10,No. 3
0,Sky,EE,0,Sky,Vodafone,FTTC,65,No. 12,No. 1,No. 1,No. 3,COMPETITOR_SKY_FTTC,EE_NAYAN_FTTC,PLAN_SUPERFAST,No. NA,27.00,27.00,0.00,0.00,No. NA,18.00,27.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,3,FIBRE_1,No. NA,24.99,29.99,0.00,No. NA,24.00,24.99,1,3,1,0,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,0,0,0,0,1,0,0,No. NA,11.00,0.00,1.00,4.00,4.00,No. 4,No. 11,No. 5,No. 1,28.00,No. 5,No. 1,No. 4,No. 4,No. 1,No. 2,No. 2,5.00,No. 10,55.00,5.00,No. 5,4,No. 7,No. 4,No. 3,No. 3,No. 3,No. 3,No. 1,No. 1,No. 0,No. 0,No. 0,No. 0,No. 0,No. 2,2.00,41.00,2.00,No. 7,No. 4,No. 4,No. 6,No. 2
0,Sky,EE,6,Sky,Vodafone,FTTP,38,No. 12,No. 1,No. 7,No. 3,COMPETITOR_SKY,EE_NAYAN,PLAN_ESSENTIAL_PLUS,SKY_TALK_EVENINGS,32.00,32.00,0.00,5.00,No. NA,18.00,37.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,1,FULL_FIBRE_36,"ALL_ROUNDER_BUNDLE,TV_ENTERTAINMENT",27.99,69.99,10.00,No. NA,24.00,54.99,3,6,No. NA,No. NA,1,2,3,1,2,No. NA,0,0,1,1,1,0,2,No. NA,2.00,0.00,1.00,6.00,2.00,No. 2,No. 4,No. 3,No. 3,65.00,No. 3,No. 5,No. 4,No. 4,No. 5,No. 4,No. 3,5.00,No. 1,17.00,4.00,No. 3,3,No. 5,No. 4,No. 2,No. 1,No. 2,No. 1,No. 1,No. 1,No. 2,No. 1,No. 0,No. 0,No. 0,No. 2,2.00,5.00,3.00,No. 1,No. 4,No. 2,No. 4,No. 2
0,Vodafone,EE,10,Vodafone,Other,FTTC,38,No. 22,No. 3,No. 5,No. 5,COMPETITOR_VODAFONE_FTTC,EE_NAYAN_FTTC,PLAN_3,No. NA,21.00,21.00,0.00,0.00,6000,24.00,21.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,2,FIBRE_1,No. NA,29.99,39.99,0.00,No. NA,24.00,29.99,0,8,0,2,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,0,0,1,0,1,2,2,No. NA,0.00,8.00,0.00,8.00,2.00,No. 1,No. 3,No. 2,No. 1,8.00,No. 5,No. 4,No. 4,No. 2,No. 1,No. 1,No. 4,6.00,No. 1,28.00,5.00,No. 2,2,No. 5,No. 3,No. 1,No. 2,No. 2,No. 2,No. 2,No. 1,No. 0,No. 0,No. 0,No. 0,No. 0,No. 2,1.00,4.00,6.00,No. 1,No. 5,No. 3,No. 7,No. 2
0,BT,EE,9,EE,Other,FTTC,41,No. 18,No. 1,No. 1,No. 1,COMPETITOR_BT_FTTC,EE_NAYAN_FTTC,PLAN_FIBRE_2,No. NA,25.99,28.00,0.00,0.00,No. NA,24.00,28.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,5,FIBRE_1,No. NA,25.99,9.99,0.00,No. NA,24.00,25.99,6,4,1,2,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,0,1,0,1,1,2,0,No. NA,2.00,7.00,2.00,7.00,4.00,No. 2,No. 7,No. 6,No. 3,29.00,No. 5,No. 5,No. 5,No. 5,No. 5,No. 5,No. 5,6.00,No. 10,19.00,6.00,No. 5,5,No. 5,No. 5,No. 2,No. 1,No. 1,No. 1,No. 1,No. 1,No. 0,No. 0,No. 2,No. 1,No. 2,No. 5,2.00,11.00,11.00,No. 1,No. 6,No. 3,No. 8,No. 4
1,Virgin,EE,8,EE,O2,FTTC,31,No. 14,No. 2,No. 1,No. 8,COMPETITOR_VIRGIN_FTTC,EE_NAYAN_FTTC,PLAN_VOLT_M100,No. NA,23.99,30.00,0.00,0.00,No. NA,18.00,30.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,2,FIBRE_1,No. NA,23.99,29.99,0.00,No. NA,24.00,23.99,1,2,1,3,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,1,1,0,0,1,0,1,No. NA,2.00,1.00,1.00,3.00,3.00,No. 5,No. 4,No. 3,No. 4,20.00,No. 5,No. 4,No. 4,No. 4,No. 6,No. 6,No. 3,5.00,No. 1,25.00,5.00,No. 3,3,No. 4,No. 5,No. 2,No. 2,No. 2,No. 2,No. 2,No. 1,No. 0,No. 0,No. 1,No. 0,No. 0,No. 2,2.00,2.00,3.00,No. 1,No. 5,No. 1,No. 6,No. 3
0,EE,Vodafone,10,Vodafone,EE,FTTC,34,No. 15,No. 1,No. 6,No. 9,EE_NAYAN_FTTC,COMPETITOR_VODAFONE_FTTC,FIBRE_3,"BEST_BUNDLE,HPP_PAYG,TV_BIG_ENTERTAINMENT",23.00,28.99,59.99,22.00,No. NA,24.00,77.99,4,5,0,0,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,1,1,0,1,0,0,1,No. NA,PLAN_3,ANYTIME_LANDLINE,23.00,0.00,8.00,6000,24.00,31.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,0,10.00,0.00,5.00,0.00,3.00,No. 4,No. 6,No. 4,No. 4,36.00,No. 4,No. 4,No. 4,No. 2,No. 1,No. 1,No. 3,1.00,No. 12,33.00,3.00,No. 4,7,No. 7,No. 7,No. 3,No. 3,No. 3,No. 2,No. 2,No. 2,No. 0,No. 0,No. 0,No. 0,No. 1,No. 1,5.00,12.00,0.00,No. 1,No. 3,No. 2,No. 8,No. 3
