spending,nudge,age,male,education_level,income
14.45,0,55,0,4,1.63
10.03,0,62,0,2,8.57
9.63,0,45,1,2,3.79
12.43,0,32,0,4,6.86
9.79,1,24,0,3,8.96
10.18,0,19,0,1,2.95
10.15,1,36,0,3,5.60
10.81,1,43,1,2,8.13
11.32,0,22,0,4,1.02
4.31,1,44,1,3,8.53
10.00,0,66,0,1,4.10
11.19,1,51,0,3,7.77
4.24,1,32,1,1,3.99
13.14,0,65,0,4,2.68
10.05,0,37,1,0,9.88
6.76,0,66,1,2,0.84
8.60,1,57,1,3,0.53
10.72,1,36,0,1,4.40
12.65,0,68,0,3,6.24
6.20,1,60,1,5,5.82
9.03,1,37,1,3,2.28
12.14,1,53,0,2,0.41
7.42,1,59,1,2,3.79
13.22,1,51,0,1,0.97
6.48,1,61,1,1,0.77
8.12,1,20,1,1,8.33
10.83,0,43,1,2,0.22
11.39,0,32,0,4,5.59
12.67,0,40,0,3,4.51
11.63,0,22,0,3,9.37
11.05,1,27,0,1,5.57
13.17,0,33,0,3,8.12
14.09,0,45,1,2,8.24
10.05,0,41,1,1,8.80
12.73,0,43,0,3,0.03
11.51,0,22,0,3,0.73
8.15,1,55,1,3,6.86
11.37,1,54,0,5,0.77
12.34,1,49,0,1,2.62
8.41,1,25,1,1,0.44
14.79,0,58,0,3,0.98
10.33,1,40,1,2,2.55
15.44,0,68,0,1,9.00
3.72,0,37,1,2,4.85
4.73,0,54,1,1,6.94
10.01,1,34,0,4,9.96
10.44,0,21,0,4,3.28
11.69,0,26,0,2,8.00
15.07,0,66,0,2,8.88
8.91,1,56,1,4,8.20
7.48,1,33,1,1,6.88
9.37,0,39,1,3,7.79
12.75,0,36,0,5,3.13
8.05,0,55,1,3,3.94
11.02,0,32,0,3,0.90
11.53,0,68,0,0,0.30
11.13,1,24,0,0,5.92
7.44,0,29,1,1,5.58
11.26,0,54,1,2,1.01
8.40,0,67,1,0,7.91
6.46,1,33,1,1,6.14
10.46,0,55,0,5,1.06
13.74,1,52,0,2,7.72
11.21,1,61,0,3,2.17
4.59,1,66,1,4,8.68
11.00,0,23,0,4,2.09
10.67,0,52,0,1,8.14
11.22,1,44,0,5,4.30
4.91,1,34,1,3,8.43
12.29,1,37,1,3,0.68
3.53,1,53,1,2,4.52
10.87,0,36,0,5,6.55
14.64,0,61,0,4,9.94
4.31,1,33,1,5,5.95
10.64,1,21,0,2,1.01
12.16,0,46,0,3,9.45
11.17,0,33,0,3,4.20
12.32,1,43,0,0,5.23
11.30,1,59,0,1,6.76
13.46,0,41,0,3,4.42
8.20,0,38,1,4,6.46
11.42,0,29,0,5,8.85
12.47,1,39,1,4,4.85
3.87,1,63,1,3,2.20
9.44,0,23,1,2,2.60
6.99,1,33,1,0,4.61
3.19,1,61,1,3,3.07
12.66,1,41,0,0,6.33
14.43,0,52,0,3,0.96
10.16,1,44,1,4,8.42
11.72,0,36,1,0,5.19
9.62,1,32,1,2,0.16
11.88,0,31,0,3,6.76
10.84,0,67,1,1,5.59
12.56,0,61,1,2,5.73
5.08,1,51,1,4,0.43
9.48,0,48,1,4,7.77
13.02,0,54,0,5,5.07
8.00,1,45,1,4,7.34
10.65,0,47,0,4,3.62
4.86,1,57,1,1,9.84
10.38,1,57,1,4,4.19
10.58,1,32,1,2,3.11
8.85,1,67,1,3,6.90
8.78,1,67,1,4,7.67
8.39,1,30,1,2,5.36
10.46,1,65,1,2,3.13
7.59,0,66,1,1,9.15
11.01,1,30,1,0,0.30
10.96,0,50,0,2,9.09
10.46,0,33,0,5,9.64
12.02,1,50,0,4,3.74
7.35,1,41,1,2,9.29
5.93,1,67,1,1,6.08
12.25,1,25,0,3,2.29
13.71,0,66,0,2,1.49
10.23,1,27,1,2,0.42
10.53,1,34,0,1,7.80
10.38,0,39,0,1,8.14
14.86,0,55,0,3,5.38
9.46,1,44,1,3,7.81
10.23,0,26,0,5,8.41
14.70,1,47,0,3,0.39
12.29,0,28,0,1,7.14
14.28,1,53,0,3,9.55
7.58,1,28,1,1,0.59
7.51,1,35,1,4,6.09
11.25,0,60,1,2,5.77
3.57,1,31,1,1,5.03
10.51,0,38,0,3,6.57
15.99,0,64,0,3,6.82
12.00,1,39,1,1,2.58
6.38,0,52,1,1,3.73
8.95,0,51,1,2,8.85
7.79,0,30,1,0,2.27
12.17,0,22,0,4,5.48
11.77,0,37,1,0,9.72
10.95,1,24,0,1,0.85
8.79,1,30,1,1,9.19
11.11,0,58,1,3,3.39
13.63,1,43,1,4,9.60
11.27,0,38,0,4,5.79
10.93,1,61,1,1,4.73
12.46,1,32,1,3,5.94
11.76,1,20,0,3,9.16
11.06,0,57,1,4,1.52
11.30,0,45,0,2,4.95
11.14,0,67,0,3,2.89
12.99,0,32,0,1,3.42
11.58,0,24,0,1,3.27
11.26,1,53,0,3,4.82
3.72,1,18,1,3,7.24
11.95,0,33,1,2,5.64
8.63,1,51,1,2,9.56
13.45,1,65,0,1,0.34
5.70,1,35,1,2,6.33
11.30,1,60,1,4,9.57
10.77,1,41,1,4,3.19
13.28,1,62,1,1,8.22
10.29,1,48,1,5,1.15
9.23,0,44,1,2,6.59
12.18,0,42,0,3,2.34
10.80,1,50,0,4,9.71
4.03,0,19,1,4,9.82
14.55,1,68,0,3,9.87
10.83,1,51,1,0,2.62
10.92,0,54,0,2,6.01
3.52,1,56,1,4,8.30
11.32,0,38,0,2,4.26
10.67,0,60,0,1,6.68
12.21,0,53,0,3,1.45
7.34,1,23,1,0,0.45
7.59,1,62,1,2,6.75
11.31,0,48,0,3,4.41
11.53,0,35,0,1,8.70
13.23,0,47,0,4,3.79
6.29,1,44,1,4,1.89
15.13,1,66,0,3,7.51
9.35,1,56,1,5,4.33
10.46,0,30,0,0,7.48
12.62,1,48,0,1,0.49
7.42,0,59,1,1,9.86
12.22,0,52,1,3,3.63
11.99,0,66,0,0,1.01
10.25,1,59,1,3,5.74
9.96,1,24,0,1,9.90
11.07,1,44,0,3,3.33
10.28,1,26,0,5,5.14
15.88,1,61,0,0,0.58
6.76,1,30,1,3,4.62
14.60,0,61,0,2,0.95
9.73,1,35,0,3,9.04
12.77,1,67,0,2,9.20
14.10,1,62,1,3,0.69
5.09,1,22,1,2,1.79
11.07,0,32,0,0,6.03
11.20,1,41,0,3,8.57
9.82,1,51,1,3,6.56
12.98,1,62,0,5,3.32
15.23,0,63,0,1,3.84
12.42,0,60,0,1,8.70
14.49,1,50,1,5,7.51
10.63,1,20,0,3,1.41
10.17,1,24,1,1,2.81
2.81,0,46,1,2,1.74
5.77,0,21,1,1,4.18
7.25,1,63,1,1,9.04
13.14,0,66,0,2,4.75
7.57,1,30,1,1,0.78
10.39,0,30,0,1,9.11
7.31,1,31,1,1,8.66
6.63,1,57,1,0,9.16
13.26,0,40,0,4,1.50
12.91,0,36,0,3,2.55
11.95,0,31,0,1,0.10
12.25,1,61,1,3,7.66
13.52,1,54,0,1,1.66
11.04,1,19,0,2,2.59
6.24,0,26,1,3,6.51
9.26,1,50,1,5,7.61
12.30,1,26,0,3,0.75
11.70,1,18,0,1,8.43
12.03,1,49,0,2,4.64
6.13,1,32,1,3,4.04
15.71,0,66,1,5,6.70
11.70,1,66,1,1,1.02
6.20,0,44,1,3,4.81
9.14,0,39,1,1,7.14
11.26,0,45,0,4,8.83
2.88,1,34,1,1,9.58
10.08,0,19,0,4,9.13
11.14,0,33,0,4,7.57
10.12,1,47,0,1,4.01
13.87,0,45,0,3,9.32
11.08,1,48,1,4,3.70
11.14,1,31,1,1,7.45
9.78,0,40,1,3,9.32
4.94,0,58,1,3,1.66
4.07,1,47,1,3,0.57
5.86,0,24,1,4,9.60
14.19,0,53,0,2,8.40
10.99,0,18,0,2,7.69
4.36,0,56,1,1,0.32
12.08,1,64,1,5,1.03
10.13,1,34,0,0,5.61
10.78,0,24,0,3,9.80
11.96,0,44,0,5,5.49
11.93,1,49,1,1,2.44
6.99,1,49,1,4,9.27
7.25,0,19,1,5,8.17
11.94,1,49,1,0,7.54
4.85,0,30,1,4,1.12
13.74,0,54,0,4,3.83
5.38,1,62,1,5,1.79
11.11,1,30,0,3,2.20
5.91,0,62,1,2,8.68
10.86,1,57,0,1,6.34
9.70,0,35,1,4,3.58
8.80,0,27,1,2,1.08
13.67,0,41,0,5,3.25
10.72,0,19,0,4,8.68
12.73,1,43,0,5,6.86
9.64,0,32,1,5,6.27
11.31,1,49,0,3,8.73
11.93,0,35,0,3,5.04
12.01,0,22,0,3,0.84
10.44,0,36,1,2,0.85
11.43,1,53,1,1,1.54
11.37,0,65,0,3,2.51
12.19,0,63,0,4,5.15
5.44,1,28,1,5,6.49
7.10,1,44,1,4,7.06
11.43,0,25,0,2,6.90
13.30,1,56,0,1,0.43
10.32,1,28,0,5,3.47
13.71,0,41,0,4,9.71
3.09,0,41,1,2,4.17
8.48,0,28,1,0,2.87
10.13,0,64,0,0,6.94
10.41,1,57,0,4,7.23
10.21,1,41,0,0,4.65
8.50,0,37,1,4,6.79
12.84,1,55,0,4,8.18
15.68,1,67,0,3,9.39
10.38,0,65,1,1,1.42
10.46,0,23,0,1,2.02
8.71,1,43,1,2,4.92
12.16,1,57,0,4,4.87
11.14,1,26,0,3,8.15
11.22,0,23,0,4,6.93
6.82,1,56,1,0,0.05
4.74,0,46,1,1,6.43
6.31,1,65,1,5,6.57
13.35,0,55,0,4,7.06
12.74,0,67,1,3,7.01
12.17,1,24,0,0,4.77
12.07,0,27,1,3,0.74
10.47,1,52,1,3,2.07
10.30,0,23,0,1,3.13
10.71,1,31,0,0,4.08
10.86,1,56,1,1,0.85
11.56,0,46,0,5,7.27
10.05,1,19,0,3,0.07
11.66,0,20,0,3,4.84
11.99,1,29,0,4,5.71
14.72,0,61,0,2,4.66
10.53,0,21,0,4,7.30
11.86,1,41,1,1,4.29
10.98,1,29,1,1,7.61
10.14,1,64,0,1,7.51
12.85,1,63,1,2,3.85
8.84,1,20,1,5,1.99
9.87,0,64,1,4,7.39
10.35,0,41,0,1,3.27
11.69,1,51,0,3,0.32
10.91,0,65,0,1,1.57
12.87,1,45,0,4,7.20
11.56,1,38,0,1,5.78
10.28,0,23,0,2,7.87
10.27,0,22,0,2,4.50
7.11,1,49,1,1,9.25
4.61,0,63,1,2,2.11
6.97,1,21,1,2,8.79
11.57,0,65,1,1,1.50
13.17,0,65,0,2,5.68
10.40,0,61,0,5,1.17
11.25,0,62,0,1,8.37
10.16,1,25,1,2,3.85
3.91,1,35,1,3,8.96
11.54,1,41,0,2,1.89
11.00,0,51,0,0,1.66
8.23,0,21,1,3,6.27
13.98,0,46,0,3,4.13
6.58,1,41,1,2,1.65
11.16,1,33,0,4,1.13
11.00,1,28,0,3,0.21
12.54,0,63,0,5,7.47
3.04,1,23,1,3,6.37
7.74,0,57,1,4,5.04
14.34,0,56,0,2,9.32
9.69,1,65,1,4,4.45
12.12,0,24,0,0,5.66
5.05,0,25,1,5,3.72
10.04,0,21,0,2,4.03
8.92,0,35,1,3,0.03
10.19,0,64,0,3,8.07
9.80,0,42,1,3,7.13
7.13,0,36,1,0,6.71
13.55,1,56,1,4,5.40
13.10,0,55,0,5,5.02
7.66,1,45,1,1,9.32
13.70,1,53,0,3,0.99
11.58,0,49,1,4,3.89
8.63,0,52,1,1,1.37
12.24,1,50,0,2,2.66
8.17,1,65,1,3,8.99
8.65,1,60,1,4,3.42
12.66,0,57,0,5,8.78
13.46,1,68,0,3,0.12
13.68,0,54,1,3,1.10
7.60,0,53,1,4,6.08
13.55,0,38,0,2,2.11
13.21,1,45,0,4,1.26
7.99,1,23,1,3,2.94
4.31,0,46,1,1,4.17
10.60,1,47,0,3,1.85
10.85,0,56,0,1,3.87
7.65,1,29,1,4,4.44
10.72,0,51,0,4,2.41
10.36,0,31,0,3,9.50
12.66,1,36,0,2,7.48
11.79,0,65,0,2,5.66
7.74,0,22,1,4,5.32
10.96,1,22,0,1,3.59
12.31,0,27,0,2,4.10
12.84,1,61,0,2,2.16
11.41,0,55,1,0,3.42
8.70,1,67,1,0,4.86
10.54,1,36,1,5,6.98
14.20,0,55,0,5,6.52
13.45,0,41,0,4,0.71
13.49,1,67,1,1,8.60
8.13,0,49,1,4,4.42
7.47,1,32,1,2,8.65
11.07,1,45,0,2,7.26
13.84,0,55,0,2,5.97
7.13,0,26,1,2,8.80
14.38,0,47,0,2,5.99
12.01,1,64,0,1,5.21
5.34,1,30,1,3,8.86
13.72,0,45,0,2,2.16
15.14,1,63,0,5,3.86
5.45,0,56,1,3,0.94
10.79,0,37,0,4,9.90
11.00,0,28,0,0,1.42
10.12,0,56,1,3,6.00
5.74,1,29,1,3,2.97
10.53,1,54,1,0,4.01
11.65,0,58,0,5,9.98
12.78,1,36,0,2,2.09
10.58,1,56,1,4,5.99
11.40,0,21,0,4,2.49
11.62,0,34,0,1,2.82
10.16,1,66,0,3,3.06
11.65,0,25,0,1,9.60
11.89,0,25,0,4,3.31
9.07,1,47,1,1,0.01
8.81,0,50,1,1,6.04
9.38,0,46,1,0,3.73
12.86,0,55,0,1,8.31
13.01,1,38,0,1,8.52
13.76,0,43,0,1,8.26
10.24,1,36,0,3,3.51
4.68,0,44,1,4,2.32
12.14,1,24,0,1,1.25
10.13,0,45,0,1,7.30
11.42,0,42,0,2,8.30
10.36,0,66,0,2,9.64
11.77,1,45,1,1,3.08
11.69,0,47,1,5,7.76
11.58,0,20,0,4,6.93
9.08,1,57,1,2,4.47
10.99,0,20,0,1,5.14
10.37,0,56,0,4,8.63
12.43,1,34,0,3,3.81
10.86,1,30,1,1,3.64
13.95,1,62,0,2,2.26
9.13,1,34,1,0,4.60
10.95,0,54,0,0,1.81
6.19,0,43,1,1,3.60
10.71,0,58,0,4,8.55
7.89,0,55,1,3,8.10
11.93,0,65,0,2,2.58
5.17,1,29,1,0,4.13
9.46,1,32,1,2,9.70
10.94,1,37,0,3,1.19
4.97,1,39,1,3,5.12
15.70,0,58,0,4,0.65
11.27,0,57,0,1,6.67
8.11,1,43,1,1,3.02
13.16,0,44,0,2,3.16
8.07,1,23,1,2,7.87
10.46,0,40,1,1,5.64
7.05,1,65,1,1,8.49
6.44,1,26,1,3,2.20
9.11,0,41,1,0,9.88
7.20,0,41,1,3,1.48
10.45,1,27,0,3,4.91
12.54,0,60,1,4,5.25
11.45,0,25,0,4,6.50
6.95,1,27,1,2,8.70
10.13,0,42,0,0,6.07
5.71,0,43,1,1,1.85
6.56,1,58,1,1,2.01
11.74,1,63,0,2,7.44
9.03,0,39,1,3,9.63
11.41,1,65,0,3,5.88
8.45,0,44,1,4,2.06
10.88,0,24,0,3,6.30
13.33,0,64,0,3,3.15
8.22,1,55,1,4,7.30
10.56,1,53,1,2,9.04
8.14,0,20,1,2,6.88
8.05,1,55,1,1,0.83
8.42,0,62,1,4,9.82
10.74,1,45,0,3,8.18
8.88,1,30,1,2,6.05
7.64,0,61,1,3,7.38
13.71,1,58,1,1,1.22
12.38,1,48,0,4,2.85
10.54,0,63,0,1,4.65
5.34,1,21,1,1,7.18
6.24,1,39,1,3,3.54
14.42,1,47,0,2,5.35
10.22,1,21,1,2,2.84
12.42,0,35,0,1,9.92
10.57,0,27,0,1,8.89
12.21,1,25,0,3,2.66
12.04,0,68,0,2,9.33
12.01,1,41,1,1,0.88
8.35,1,40,1,4,7.41
10.78,1,31,0,2,4.05
6.22,1,67,1,3,5.08
10.21,0,34,1,2,7.89
4.76,1,40,1,0,2.17
8.23,1,39,1,1,6.46
11.62,1,38,1,4,3.89
4.23,0,23,1,3,4.18
8.87,1,51,1,3,1.97
9.02,1,20,1,0,4.18
9.96,0,27,0,2,7.66
10.59,1,29,0,4,7.04
11.47,1,51,1,3,8.70
12.75,1,37,0,1,7.02
7.25,0,29,1,4,8.30
11.91,1,44,0,3,2.35
9.98,1,27,0,1,2.86
6.73,0,65,1,4,4.72
11.99,1,41,0,4,6.59
10.93,0,26,0,5,1.55
11.11,1,26,1,4,1.59
7.61,0,57,1,1,0.68
4.56,0,18,1,3,5.12
4.27,0,39,1,2,4.81
9.36,1,61,1,3,3.12
11.63,1,53,0,2,8.24
10.54,1,47,1,4,0.37
11.98,1,28,0,0,0.79
5.03,0,26,1,1,8.46
15.19,0,57,0,5,1.72
5.41,1,25,1,1,7.53
11.12,0,24,0,2,9.88
12.47,1,53,0,2,1.14
3.92,0,36,1,3,9.94
10.43,1,56,0,1,2.70
11.29,1,43,0,2,8.54
13.12,0,43,1,3,7.68
10.21,1,34,0,0,1.00
12.71,1,43,0,4,6.80
11.88,1,41,0,2,9.67
7.67,1,49,1,4,8.95
13.24,1,63,0,5,3.36
6.96,1,40,1,5,2.80
14.54,0,47,0,3,6.55
10.05,1,59,1,5,5.89
12.79,1,53,0,4,2.80
13.24,0,40,0,2,8.52
15.88,0,60,0,5,3.25
10.94,0,22,1,0,8.73
12.11,0,49,0,0,1.13
11.96,1,45,0,2,4.99
10.23,0,63,1,1,8.81
11.38,1,54,0,3,1.27
13.51,1,44,0,1,5.34
3.40,1,33,1,3,8.59
12.89,1,56,0,4,8.30
11.44,1,35,0,3,4.08
3.66,0,27,1,3,5.86
10.65,1,45,0,0,4.27
11.59,1,48,1,3,5.83
9.87,1,63,1,4,7.65
8.07,0,68,1,3,7.48
10.22,1,56,1,2,7.89
5.93,0,39,1,4,5.32
11.90,0,21,0,1,9.36
8.81,1,46,1,0,8.37
15.14,0,51,0,4,8.53
15.47,1,65,0,4,9.37
14.54,0,60,0,2,9.47
14.28,1,58,0,2,4.05
10.75,0,32,0,2,9.43
13.52,0,44,0,5,3.22
7.51,0,27,1,3,0.41
11.26,1,31,0,4,2.14
15.86,1,67,0,1,2.06
10.07,1,20,0,3,6.68
11.37,1,64,1,2,3.02
12.80,1,44,0,3,0.29
12.96,1,57,1,3,3.98
3.96,1,50,1,5,5.34
13.53,1,53,1,3,2.91
5.43,1,26,1,1,0.06
14.49,0,57,0,4,9.74
3.49,1,51,1,2,8.08
8.76,1,30,1,4,5.13
4.69,0,46,1,2,8.06
12.56,1,50,0,5,4.85
12.53,0,61,0,4,0.09
2.97,0,34,1,5,8.09
11.84,0,61,0,5,5.85
12.12,0,25,0,1,7.64
11.02,1,23,0,4,2.51
10.24,0,64,0,3,8.35
9.68,1,56,1,4,3.37
15.50,0,65,0,5,2.54
10.33,0,21,0,4,3.59
12.40,1,58,0,1,2.14
15.04,0,61,0,1,0.24
10.41,1,25,0,4,0.37
12.07,1,29,0,0,9.34
10.47,0,29,0,5,0.47
9.41,1,52,1,1,4.28
13.43,1,53,0,3,8.60
11.12,1,25,0,1,6.07
12.51,0,33,1,4,9.13
10.81,0,39,0,3,4.99
14.03,0,54,0,1,4.70
12.91,0,57,0,3,8.40
11.15,1,43,1,5,8.40
13.47,1,61,0,5,9.15
5.39,0,46,1,1,2.73
11.47,1,23,0,3,8.54
14.56,1,61,0,3,9.84
10.34,1,68,1,5,1.43
10.68,1,33,1,5,0.01
2.46,0,41,1,0,7.12
10.69,0,30,0,4,0.96
8.18,1,56,1,4,4.17
3.81,1,41,1,4,7.69
11.93,1,21,1,2,5.23
12.02,0,21,0,2,7.40
12.30,0,44,0,1,7.20
9.57,0,46,1,3,5.11
8.86,0,57,1,3,7.74
9.16,1,49,1,2,1.86
8.74,1,57,1,2,9.46
12.16,0,40,0,3,8.20
6.73,1,37,1,1,0.72
4.80,1,35,1,3,2.69
13.42,0,47,0,3,1.63
7.78,0,50,1,0,9.04
10.68,1,24,0,4,5.97
5.54,1,33,1,2,2.49
13.49,0,42,0,1,8.48
10.15,0,25,1,2,6.72
13.44,1,40,0,1,5.47
11.51,0,46,1,2,9.20
5.87,1,54,1,0,4.44
7.51,1,50,1,5,3.44
9.91,1,44,1,5,5.21
3.99,1,18,1,0,9.12
4.17,0,45,1,0,9.64
12.61,0,47,0,2,3.53
10.55,0,34,0,4,9.05
11.71,0,26,0,1,2.28
11.39,0,26,0,1,7.07
4.58,1,27,1,4,4.67
3.08,0,46,1,3,9.59
4.29,0,52,1,2,7.43
15.14,0,62,1,1,6.48
6.92,0,45,1,1,4.63
10.73,0,55,0,2,7.42
12.67,1,28,0,0,2.20
9.69,1,47,1,3,1.01
15.78,1,67,1,3,2.76
12.62,1,55,0,4,5.22
11.07,0,30,0,0,9.22
10.84,1,35,1,3,8.05
10.12,0,34,0,2,7.62
10.80,0,40,0,3,2.79
7.31,0,25,1,1,7.06
11.73,1,45,1,4,9.99
12.01,1,29,0,4,4.00
12.32,1,22,0,5,0.82
10.46,0,19,0,2,5.91
11.91,1,56,1,5,5.21
3.38,0,20,1,5,7.22
7.93,0,49,1,0,5.31
6.56,1,45,1,1,3.71
14.72,0,54,0,1,4.81
5.05,1,33,1,3,8.58
11.28,1,43,0,2,2.84
11.29,0,24,0,2,5.42
8.28,1,48,1,2,6.57
11.46,0,20,0,2,3.26
9.71,1,60,1,2,1.47
15.43,1,59,0,3,0.50
12.41,0,43,0,1,9.45
10.66,0,28,0,4,6.86
12.27,1,30,0,2,7.99
9.82,0,21,0,3,7.80
10.50,1,24,0,3,2.75
14.40,0,47,0,2,4.52
12.63,0,37,0,2,4.68
12.38,0,39,0,4,3.29
8.26,0,27,1,4,6.62
13.85,1,39,0,1,1.53
13.93,0,60,0,1,3.28
10.45,1,59,1,2,8.13
12.35,1,59,1,5,6.17
9.89,0,55,0,4,8.19
4.63,1,37,1,1,6.11
6.32,0,57,1,3,9.36
10.46,1,51,1,0,8.71
10.82,0,32,0,4,6.18
12.86,0,39,0,3,4.25
12.02,1,42,0,4,2.55
10.28,1,55,1,0,9.93
3.29,0,57,1,1,6.71
13.45,0,49,0,0,4.61
14.28,1,64,0,1,0.53
12.24,0,48,0,5,8.67
9.00,0,60,1,4,9.35
10.82,1,47,1,1,8.03
11.50,0,57,0,5,3.36
8.43,1,28,1,3,6.67
10.70,0,52,0,3,0.46
15.97,1,64,0,4,0.49
11.76,0,43,0,4,5.60
9.93,0,45,0,2,8.22
8.42,1,58,1,5,5.86
13.06,0,33,0,2,5.39
13.15,1,59,0,2,0.68
7.11,1,39,1,4,8.22
10.66,0,27,0,1,8.49
12.86,1,55,0,3,0.71
8.19,0,36,1,1,9.63
13.27,1,46,0,5,4.68
11.74,1,26,1,3,4.62
11.34,0,19,0,3,0.41
12.77,1,31,0,1,9.70
11.11,1,29,1,5,9.19
6.30,1,55,1,0,0.29
4.25,1,61,1,5,5.23
12.15,1,53,0,3,5.69
10.15,1,29,0,4,7.93
10.69,0,61,1,5,3.00
7.59,1,50,1,3,4.31
11.01,1,22,0,1,5.64
8.46,1,62,1,3,0.33
6.81,1,65,1,0,6.24
11.33,0,33,0,5,7.91
7.53,1,21,1,4,9.11
12.01,1,34,0,1,3.84
11.93,0,37,0,2,7.94
10.67,1,33,0,1,2.97
2.86,0,38,1,2,1.64
